Material(Class),Material(Family),Serial num,Cause P/No Desc.,Operation Hour,유형별,귀책별,Vendor Name,Region Name,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Decision
엔진2톤,DIV-D20/35SE9,FDA2H-000367,"VALVE,MAIN CONTROL;4SEC",177,Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),20.0,28.0,45.0,79.0,85.0,106.0,137.0,157.0,180.0,182.0,215.0,225.0,253.0,274.0,288.0,1
엔진7톤,DIV-D60/90S(C)9,FDB21-000345,"VALVE ASSY,CONTROL;3SPOOL",279,작동불량,부품,발보일플루이드파워코리아,Incheon-Korea(CS02),1.0,38.0,53.0,67.0,96.0,114.0,126.0,158.0,175.0,188.0,214.0,234.0,251.0,271.0,289.0,1
엔진2톤,DIV-G20/35E7,FGA1N-001426,"VALVE ASSY,CONTROL;3S",22,조정불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,14.0,34.0,53.0,68.0,82.0,107.0,135.0,145.0,179.0,191.0,211.0,222.0,246.0,277.0,291.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-002147,"VALVE,MAIN CONTROL;3SEC",102,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),3.0,25.0,44.0,65.0,84.0,102.0,140.0,143.0,177.0,200.0,215.0,232.0,253.0,277.0,296.0,0
엔진4톤,DIV-GC35/55S(C)9,FGB1B-000381,VALVE ASSY;4SPOOL,218,작동불량,부품,KYB CORPORATION,Incheon-DIVAC,7.0,22.0,43.0,72.0,82.0,109.0,138.0,146.0,164.0,200.0,217.0,238.0,247.0,274.0,298.0,0
엔진2톤,DIV-G20/35E7,FGA1M-004630,"VALVE ASSY,CONTROL;4 SECTION",3,작동불량,부품,경원기업,Incheon-DIVAC,12.0,35.0,41.0,80.0,96.0,102.0,131.0,152.0,178.0,181.0,218.0,240.0,258.0,268.0,298.0,1
엔진2톤,DIV-G20/35E7,FGA1M-004343,"VALVE ASSY,CONTROL;3S",3,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,11.0,26.0,49.0,80.0,91.0,117.0,132.0,148.0,175.0,200.0,209.0,234.0,243.0,261.0,285.0,0
엔진2톤,DIV-G20/35E7,FGA1N-001514,"VALVE ASSY,CONTROL;4 SECTION",21,누락,생산,경원기업,Incheon-DIVAC,1.0,33.0,47.0,72.0,94.0,118.0,127.0,156.0,178.0,195.0,206.0,232.0,258.0,276.0,300.0,1
엔진4톤,DIV-D35/55S(C)9,FDB43-000141,"VALVE,MAIN CONTROL;4SEC","1,099",Leak,부품,신진정밀(주),Incheon-Korea(CS02),16.0,29.0,45.0,73.0,84.0,101.0,137.0,154.0,180.0,183.0,216.0,237.0,257.0,272.0,298.0,0
엔진1톤,DIV-GC15/20S(C)9,FGA1C-000429,"VALVE,CONTROL;SECTION,LIFT","1,240",작동불량,부품,파카코리아(주),Incheon-DIVAC,5.0,35.0,51.0,80.0,93.0,101.0,132.0,147.0,177.0,198.0,204.0,221.0,250.0,271.0,294.0,0
엔진2톤,DIV-D20/35S(C)9,FDA2E-000315,"VALVE,MAIN CONTROL;3 SPOOL",214,작동불량,기타,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,3.0,36.0,59.0,80.0,95.0,103.0,135.0,153.0,176.0,193.0,206.0,239.0,249.0,264.0,287.0,0
전동,DIV-B20/35S7,FBA33-000445,"VALVE,MAIN CONTROL;4SEC",767,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-Korea(CS02),1.0,40.0,45.0,75.0,89.0,104.0,133.0,147.0,169.0,182.0,210.0,236.0,252.0,267.0,300.0,1
엔진2톤,DIV-D20/35SE9,FDA2H-000479,"VALVE,MAIN CONTROL;4SEC",42,Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),11.0,33.0,50.0,70.0,85.0,105.0,126.0,153.0,173.0,196.0,201.0,238.0,259.0,275.0,294.0,0
리치트럭,DIV-BR13/25S9,FRA0T-000622,"VALVE,MAIN CONTROL;3WAY",324,작동불량,부품,파카코리아(주),Incheon-Korea(CS02),15.0,32.0,52.0,76.0,92.0,108.0,138.0,160.0,176.0,189.0,210.0,229.0,249.0,268.0,288.0,0
엔진2톤,DIV-D20/35S(C)9,FDA2D-000125,"VALVE,MAIN CONTROL;3 SPOOL",72,외관,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,16.0,33.0,52.0,63.0,86.0,119.0,131.0,145.0,173.0,185.0,206.0,229.0,244.0,271.0,290.0,0
엔진1톤,DIV-GC15/20S(C)9,FGA1K-000196,"VALVE,CONTROL;SECTION,LIFT",50,작동불량,부품,파카코리아(주),Incheon-DIVAC,3.0,29.0,49.0,77.0,84.0,113.0,130.0,144.0,171.0,195.0,208.0,233.0,255.0,272.0,282.0,0
리치트럭,DIV-BR18/20SP7(북미),FRA0J-000310,"VALVE ASSY,CONTROL",237,작동불량,부품,HYDRAFORCE HYDRAULIC SYSTEMS,Incheon-DIVAC,20.0,34.0,59.0,64.0,92.0,112.0,138.0,147.0,177.0,200.0,218.0,236.0,242.0,276.0,298.0,1
리치트럭,DIV-BR18/20SP7(북미),FRA0K-000526,"VALVE,HYDRAULIC;PILOT C/B VALVE",292,Leak,부품,신성정밀(주),Incheon-DIVAC,15.0,39.0,49.0,63.0,96.0,116.0,121.0,150.0,180.0,191.0,203.0,235.0,255.0,262.0,290.0,0
전동,DIV-B22/35X7P,FBA20-001381,VALVE ASSY;SECTION,"1,375",작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVEU,8.0,34.0,57.0,75.0,93.0,115.0,121.0,141.0,176.0,197.0,205.0,223.0,244.0,264.0,290.0,0
엔진4톤,DIV-D35/55S(C)9,FDB43-000658,"VALVE,MAIN CONTROL;4SEC",535,작동불량,부품,신진정밀(주),Incheon-Korea(CS02),1.0,31.0,57.0,69.0,87.0,104.0,128.0,158.0,175.0,184.0,218.0,229.0,250.0,278.0,295.0,1
엔진2톤,DIV-D20/35SE9,FDA2H-002131,"VALVE,MAIN CONTROL;3SEC",159,Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),10.0,22.0,47.0,64.0,93.0,103.0,121.0,160.0,178.0,182.0,202.0,223.0,242.0,271.0,281.0,0
엔진2톤,DIV-GC20/33S9,FGA1E-002837,"VALVE,MAIN CONTROL;4 SPOOL",37,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,14.0,40.0,47.0,74.0,84.0,102.0,133.0,159.0,179.0,189.0,217.0,225.0,241.0,271.0,295.0,0
엔진2톤,DIV-G20/35E7,FGA1M-000659,"VALVE,MAIN CONTROL;4SEC",494,간섭,부품,대성산업(주)기계사업부,Incheon-DIVAC,18.0,31.0,41.0,70.0,99.0,102.0,133.0,155.0,170.0,194.0,213.0,227.0,250.0,276.0,290.0,0
엔진1톤,DIV-GC15/20S(C)9,FGA1H-000132,"VALVE,CONTROL;SECTION,LIFT",56,작동불량,부품,파카코리아(주),Incheon-DIVAC,13.0,28.0,56.0,77.0,82.0,108.0,132.0,156.0,163.0,195.0,207.0,228.0,244.0,268.0,295.0,0
엔진2톤,DIV-D20/35S(C)9,FDA2E-000315,"VALVE,MAIN CONTROL;3 SPOOL",305,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,15.0,37.0,60.0,64.0,93.0,107.0,136.0,152.0,171.0,192.0,211.0,234.0,257.0,280.0,283.0,0
엔진2톤,DIV-G20/35E7,FGA1M-003642,"VALVE ASSY,CONTROL;3 SECTION",22,작동불량,생산,경원기업,Incheon-DIVAC,4.0,37.0,60.0,79.0,93.0,107.0,136.0,148.0,171.0,189.0,217.0,234.0,242.0,270.0,300.0,0
전동,DIV-B20/35S7,FBA31-001801,"VALVE,MAIN CONTROL;3SEC",937,Leak,부품,派克汉尼汾液压(天津)有限公司,Incheon-Korea(CS02),5.0,23.0,42.0,79.0,85.0,116.0,129.0,159.0,175.0,196.0,204.0,232.0,258.0,271.0,291.0,0
엔진2톤,DIV-D20/35SE9,FDA2J-000365,"VALVE,MAIN CONTROL;4SEC",13,Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),4.0,34.0,58.0,74.0,84.0,102.0,125.0,157.0,164.0,190.0,201.0,226.0,244.0,269.0,298.0,0
엔진2톤,DIV-G20/35E7,FGA1N-001448,"VALVE ASSY,CONTROL;3 SECTION",377,작동불량,기타,경원기업,Incheon-DIVAC,10.0,33.0,52.0,71.0,86.0,104.0,132.0,145.0,163.0,198.0,218.0,233.0,258.0,265.0,285.0,0
엔진7톤,DIV-D60/90S(C)9,FDB21-000653,"VALVE,HYDRAULIC;COIL-24V",513,작동불량,부품,신성정밀(주),Incheon-Korea(CS02),10.0,38.0,41.0,76.0,90.0,118.0,133.0,150.0,178.0,198.0,220.0,229.0,244.0,280.0,295.0,0
엔진4톤,DIV-D35/55S(C)9,FDB41-000178,"VALVE,MAIN CONTROL;3SEC","1,865",Leak,부품,신진정밀(주),Incheon-Korea(CS02),4.0,31.0,58.0,65.0,100.0,110.0,133.0,156.0,170.0,193.0,213.0,228.0,247.0,280.0,296.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-001696,"VALVE,MAIN CONTROL;4SEC",56,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),5.0,37.0,48.0,63.0,85.0,108.0,132.0,150.0,162.0,194.0,215.0,224.0,243.0,265.0,296.0,0
엔진2톤,DIV-G20/35N7,FGA15-003136,"VALVE ASSY,CONTROL;4S,D25S",27,Leak,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,1.0,29.0,53.0,66.0,96.0,103.0,139.0,148.0,166.0,185.0,216.0,223.0,259.0,264.0,300.0,1
엔진2톤,DIV-D20/35S(C)7,FDA0V-001858,"VALVE ASSY,CONTROL;3S",487,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,11.0,21.0,46.0,80.0,82.0,120.0,132.0,146.0,169.0,186.0,219.0,229.0,243.0,277.0,294.0,0
리치트럭,DIV-BR18/20SP7(북미),FRA0K-000593,"VALVE ASSY,CONTROL",488,Leak,부품,HYDRAFORCE HYDRAULIC SYSTEMS,Incheon-DIVAC,17.0,36.0,56.0,74.0,87.0,102.0,127.0,156.0,163.0,191.0,219.0,224.0,243.0,263.0,290.0,0
엔진2톤,DIV-D20/35S(C)9,FDA2C-001506,"VALVE,MAIN CONTROL;4 SPOOL",114,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,7.0,39.0,42.0,79.0,94.0,106.0,138.0,144.0,169.0,187.0,203.0,221.0,258.0,262.0,298.0,1
엔진2톤,DIV-G20/35E7,FGA1N-001844,"VALVE ASSY,CONTROL;4 SECTION",1,간섭,부품,경원기업,Incheon-DIVAC,12.0,23.0,48.0,68.0,88.0,112.0,127.0,158.0,170.0,187.0,205.0,234.0,255.0,269.0,291.0,0
엔진2톤,DIV-G20/35E7,FGA1M-002206,"VALVE ASSY,CONTROL;3S",203,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,16.0,28.0,57.0,74.0,83.0,108.0,126.0,153.0,174.0,198.0,217.0,239.0,259.0,271.0,289.0,0
엔진2톤,DIV-D20/35S(C)9,FDA2D-000190,"VALVE,MAIN CONTROL;4 SPOOL",387,작동불량,기타,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,6.0,39.0,48.0,61.0,95.0,102.0,131.0,154.0,173.0,196.0,220.0,240.0,248.0,280.0,300.0,0
엔진2톤,DIV-G20/35E7,FGA1M-004557,"VALVE ASSY,CONTROL;3S",145,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,20.0,28.0,48.0,62.0,100.0,105.0,135.0,159.0,173.0,185.0,202.0,233.0,249.0,267.0,292.0,1
엔진2톤,DIV-D20/35SE9,FDA2J-000183,"VALVE,MAIN CONTROL;4SEC",90,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),14.0,22.0,42.0,73.0,94.0,117.0,124.0,148.0,168.0,194.0,215.0,221.0,248.0,273.0,283.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-000998,"VALVE,MAIN CONTROL;4SEC","1,245",이음,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),8.0,39.0,59.0,74.0,81.0,106.0,124.0,150.0,180.0,200.0,218.0,237.0,254.0,274.0,299.0,1
엔진2톤,DIV-GC20/33S9,FGA1E-003194,VALVE GP-SECTION-AUX 2,4,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,9.0,22.0,56.0,64.0,89.0,111.0,135.0,148.0,163.0,188.0,216.0,229.0,249.0,280.0,300.0,0
엔진2톤,DIV-D20/35S(C)9,FDA2C-001578,"VALVE,MAIN CONTROL;4 SPOOL",71,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,15.0,25.0,47.0,78.0,100.0,108.0,127.0,143.0,173.0,198.0,201.0,231.0,245.0,275.0,297.0,0
엔진2톤,DIV-G20/35E7,FGA1M-000991,"VALVE ASSY,CONTROL;3S",848,간섭,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,16.0,34.0,53.0,71.0,90.0,116.0,135.0,145.0,169.0,198.0,208.0,222.0,250.0,271.0,285.0,0
엔진2톤,DIV-D20/35S(C)9,FDA2C-000207,"VALVE,SECTION;DUAL DIVIDER",245,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVEU,6.0,31.0,45.0,66.0,87.0,104.0,133.0,159.0,166.0,187.0,216.0,237.0,253.0,265.0,290.0,0
엔진2톤,DIV-G20/35E7,FGA1M-006583,"VALVE ASSY,CONTROL;3S",31,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,2.0,36.0,51.0,67.0,99.0,114.0,139.0,151.0,177.0,189.0,219.0,226.0,241.0,276.0,296.0,1
엔진2톤,DIV-D20/35SE9,FDA2H-002260,"VALVE,MAIN CONTROL;4SEC",9,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),16.0,37.0,46.0,78.0,81.0,115.0,133.0,149.0,172.0,195.0,213.0,231.0,257.0,267.0,287.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-002319,"VALVE,MAIN CONTROL;4SEC",107,Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),5.0,25.0,49.0,78.0,95.0,117.0,124.0,152.0,178.0,196.0,216.0,234.0,241.0,265.0,290.0,0
엔진2톤,DIV-D20/35S(C)7,FDA25-001169,"VALVE ASSY,CONTROL;3S",100,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVEU,3.0,37.0,50.0,74.0,97.0,105.0,136.0,146.0,170.0,193.0,214.0,226.0,255.0,268.0,298.0,0
리치트럭,DIV-BR13/25S9,FRA0R-000133,"VALVE,MAIN CONTROL;3WAY",186,작동불량,부품,파카코리아(주),Incheon-Korea(CS02),7.0,23.0,50.0,62.0,99.0,102.0,128.0,156.0,169.0,187.0,211.0,226.0,241.0,270.0,296.0,0
엔진4톤,DIV-D35/55S(C)9,FDB43-000463,"VALVE,MAIN CONTROL;4SEC",242,작동불량,부품,신진정밀(주),Incheon-Korea(CS02),3.0,22.0,49.0,65.0,97.0,109.0,136.0,159.0,166.0,186.0,206.0,238.0,254.0,274.0,289.0,0
리치트럭,DIV-BR18/20SP7(북미),FRA0K-000583,"VALVE ASSY,CONTROL",118,Leak,부품,HYDRAFORCE HYDRAULIC SYSTEMS,Incheon-DIVAC,6.0,33.0,43.0,80.0,94.0,117.0,122.0,151.0,172.0,189.0,219.0,229.0,255.0,266.0,298.0,0
리치트럭,DIV-BR13/25S9,FRA0U-000358,"VALVE,MAIN CONTROL;4WAY",532,작동불량,부품,파카코리아(주),Incheon-Korea(CS02),12.0,26.0,46.0,78.0,96.0,107.0,124.0,145.0,166.0,200.0,219.0,236.0,253.0,279.0,300.0,0
엔진2톤,DIV-D20/35SE9,FDA2J-000374,"VALVE,MAIN CONTROL;3SEC",30,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),3.0,28.0,47.0,77.0,98.0,102.0,127.0,144.0,172.0,200.0,204.0,230.0,251.0,262.0,283.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-002479,"VALVE,MAIN CONTROL;4SEC",18,Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),2.0,37.0,58.0,63.0,89.0,114.0,128.0,141.0,167.0,196.0,208.0,227.0,242.0,274.0,288.0,1
엔진2톤,DIV-D20/35SE9,FDA2H-001681,"VALVE,MAIN CONTROL;4SEC",664,Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),17.0,34.0,58.0,74.0,91.0,109.0,139.0,146.0,169.0,181.0,210.0,230.0,256.0,271.0,287.0,0
전동,DIV-B22/35X7,FBA19-001460,VALVE ASSY;SECTION,197,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVEU,4.0,34.0,47.0,68.0,89.0,119.0,128.0,142.0,167.0,186.0,220.0,232.0,249.0,263.0,299.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-001023,"VALVE,MAIN CONTROL;4SEC",33,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),2.0,32.0,50.0,62.0,100.0,103.0,124.0,153.0,180.0,198.0,204.0,226.0,257.0,278.0,287.0,1
엔진4톤,DIV-D35/55S(C)9,FDB43-000365,"VALVE,MAIN CONTROL;4SEC",373,작동불량,부품,신진정밀(주),Incheon-Korea(CS02),5.0,22.0,42.0,66.0,96.0,115.0,121.0,153.0,172.0,181.0,217.0,231.0,255.0,263.0,288.0,0
엔진2톤,DIV-G20/35E7,FGA1L-000079,VALVE ASSY;4 SEC,46,Leak,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,18.0,22.0,41.0,62.0,94.0,120.0,140.0,158.0,163.0,195.0,219.0,227.0,242.0,277.0,291.0,0
엔진4톤,DIV-D35/55S(C)9,FDB43-000831,"VALVE,MAIN CONTROL;4SEC",547,이음,부품,신진정밀(주),Incheon-Korea(CS02),7.0,30.0,44.0,80.0,84.0,118.0,135.0,145.0,174.0,183.0,208.0,237.0,259.0,270.0,295.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-000953,"VALVE,MAIN CONTROL;4SEC",840,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),10.0,21.0,49.0,69.0,94.0,118.0,129.0,153.0,170.0,184.0,213.0,235.0,252.0,268.0,298.0,0
엔진2톤,DIV-G20/35E7,FGA1M-003997,"VALVE ASSY,CONTROL;4 SECTION",49,Leak,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,2.0,23.0,51.0,61.0,86.0,106.0,128.0,142.0,174.0,182.0,205.0,225.0,253.0,276.0,289.0,1
엔진2톤,DIV-G20/35E7,FGA1N-001125,"VALVE ASSY,CONTROL;4S,D25S",109,외관,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,14.0,22.0,51.0,72.0,93.0,116.0,132.0,145.0,176.0,181.0,217.0,234.0,255.0,277.0,293.0,0
엔진4톤,DIV-G35/55S(C)7,FGB0T-000750,VALVE ASSY;4SPOOL,15,작동불량,부품,KYB CORPORATION,Incheon-DIVAC,11.0,24.0,44.0,69.0,90.0,114.0,130.0,147.0,161.0,192.0,219.0,222.0,256.0,279.0,295.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-002533,"VALVE,MAIN CONTROL;3SEC",2,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),6.0,37.0,57.0,66.0,93.0,118.0,122.0,153.0,174.0,195.0,208.0,225.0,259.0,277.0,295.0,0
전동,DIV-B40/45X7,FBB0A-000104,"VALVE ASSY,CONTROL;4 SECTION",836,Leak,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVEU,10.0,24.0,53.0,61.0,86.0,109.0,130.0,143.0,164.0,196.0,203.0,231.0,251.0,268.0,299.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-002530,"VALVE,MAIN CONTROL;4SEC",21,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),18.0,38.0,48.0,65.0,100.0,120.0,136.0,142.0,174.0,191.0,214.0,240.0,247.0,278.0,293.0,0
엔진4톤,DIV-D35/55S(C)9,FDB43-001061,"VALVE,MAIN CONTROL;4SEC",95,작동불량,부품,신진정밀(주),Incheon-Korea(CS02),15.0,24.0,41.0,68.0,87.0,112.0,125.0,160.0,162.0,189.0,217.0,221.0,260.0,273.0,282.0,1
엔진2톤,DIV-G20/35E7,FGA1M-005630,"VALVE ASSY,CONTROL;4S,D25S",67,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,10.0,40.0,58.0,65.0,98.0,105.0,122.0,154.0,174.0,194.0,205.0,238.0,257.0,272.0,282.0,0
리치트럭,DIV-BR18/20SP7(북미),FRA0K-000632,"VALVE,HYDRAULIC;PILOT C/B VALVE",213,작동불량,부품,신성정밀(주),Incheon-DIVAC,5.0,31.0,57.0,75.0,99.0,115.0,126.0,160.0,166.0,190.0,205.0,239.0,246.0,263.0,286.0,0
엔진4톤,DIV-G35/55S(C)7,FGB0R-001837,"VALVE,MAIN CONTROL;4SEC",33,손상,부품,신진정밀(주),Incheon-DIVAC,18.0,35.0,57.0,76.0,97.0,112.0,133.0,149.0,178.0,199.0,215.0,234.0,244.0,262.0,285.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-001996,"VALVE,MAIN CONTROL;4SEC",674,작동불량,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),7.0,36.0,41.0,67.0,95.0,111.0,140.0,146.0,180.0,195.0,201.0,230.0,259.0,276.0,285.0,1
엔진4톤,DIV-D35/55S(C)9,FDB43-000757,"VALVE,MAIN CONTROL;3SEC","1,330",작동불량,부품,신진정밀(주),Incheon-Korea(CS02),13.0,25.0,55.0,75.0,92.0,120.0,130.0,152.0,170.0,199.0,213.0,225.0,246.0,279.0,288.0,0
엔진4톤,DIV-D35/55S(C)9,FDB43-000940,"VALVE,MAIN CONTROL;4SEC",345,작동불량,부품,신진정밀(주),Incheon-Korea(CS02),9.0,32.0,53.0,64.0,95.0,109.0,125.0,151.0,172.0,186.0,207.0,240.0,250.0,270.0,295.0,0
전동,DIV-B15/20T7P,FBA11-007550,VALVE ASSY;3SPOOL,77,Leak,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVEU,9.0,23.0,54.0,70.0,92.0,109.0,133.0,146.0,176.0,196.0,218.0,223.0,249.0,266.0,282.0,0
엔진7톤,DIV-D60/90S(C)9,FDB21-000937,"VALVE ASSY,CONTROL;4SPOOL",429,작동불량,부품,발보일플루이드파워코리아,Incheon-Korea(CS02),15.0,25.0,43.0,67.0,82.0,119.0,140.0,146.0,168.0,196.0,220.0,229.0,253.0,280.0,294.0,1
엔진2톤,DIV-D20/35SE9,FDA2G-000315,"VALVE,MAIN CONTROL;3SEC","1,957",Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),8.0,34.0,48.0,67.0,92.0,112.0,139.0,147.0,179.0,195.0,216.0,226.0,246.0,261.0,297.0,0
엔진2톤,DIV-G20/35E7,FGA1P-000051,"VALVE ASSY,CONTROL;4S,D25S",537,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,13.0,25.0,56.0,66.0,86.0,101.0,124.0,148.0,175.0,193.0,208.0,235.0,253.0,263.0,293.0,0
엔진4톤,DIV-GC35/55S(C)9,FGB1B-000503,"VALVE ASSY,RELIEF",2,작동불량,부품,KYB CORPORATION,Incheon-DIVAC,17.0,21.0,55.0,67.0,93.0,115.0,127.0,153.0,172.0,200.0,211.0,239.0,257.0,279.0,287.0,0
엔진2톤,DIV-G20/35E7,FGA1N-002090,"VALVE,MAIN CONTROL;3 SPOOL",45,Leak,생산,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,3.0,26.0,58.0,67.0,82.0,120.0,127.0,141.0,164.0,186.0,213.0,234.0,246.0,264.0,300.0,0
엔진2톤,DIV-D20/35S(C)9,FDA2E-000340,"VALVE,MAIN CONTROL;3 SPOOL",62,작동불량,부품,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,1.0,30.0,51.0,76.0,96.0,104.0,127.0,154.0,172.0,181.0,202.0,228.0,259.0,275.0,288.0,1
엔진2톤,DIV-GC20/33S9,FGA1F-000636,"VALVE,MAIN CONTROL;3 SPOOL",168,작동불량,생산,派克汉尼汾液压(天津)有限公司,Incheon-DIVAC,17.0,36.0,44.0,78.0,96.0,103.0,140.0,150.0,174.0,196.0,210.0,221.0,248.0,272.0,288.0,0
엔진2톤,DIV-D20/35SE9,FDA2H-002312,"VALVE,MAIN CONTROL;4SEC",141,손상,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),3.0,30.0,52.0,64.0,84.0,106.0,139.0,151.0,168.0,184.0,214.0,225.0,246.0,264.0,288.0,0
전동,DIV-B40/45X7,FBB09-000412,"VALVE,MAIN CONTROL;FINGERTIP,4WAY",3,작동불량,부품,발보일플루이드파워코리아,Incheon-DIVEU,18.0,39.0,42.0,80.0,94.0,119.0,132.0,160.0,170.0,184.0,214.0,237.0,244.0,271.0,300.0,0
엔진2톤,DIV-D20/35SE9,FDA2G-000365,"VALVE,MAIN CONTROL;3SEC",447,Leak,부품,대성산업(주)기계사업부,Incheon-Korea(CS02),9.0,27.0,53.0,61.0,99.0,108.0,138.0,153.0,179.0,194.0,212.0,227.0,250.0,277.0,282.0,0
리치트럭,DIV-BR18/20SP7(북미),FRA0K-000520,"VALVE,HYDRAULIC;PILOT C/B VALVE",451,Leak,부품,신성정밀(주),Incheon-DIVAC,8.0,40.0,54.0,67.0,85.0,101.0,131.0,149.0,167.0,195.0,210.0,228.0,250.0,267.0,287.0,0
리치트럭,DIV-BR18/20SP7(북미),FRA0K-000601,"VALVE ASSY,CONTROL",23,작동불량,부품,HYDRAFORCE HYDRAULIC SYSTEMS,Incheon-DIVAC,9.0,27.0,59.0,65.0,100.0,116.0,132.0,150.0,179.0,186.0,220.0,228.0,247.0,275.0,284.0,0
리치트럭,DIV-BR18/20SP7(북미),FRA0K-000602,"VALVE ASSY,CONTROL",27,작동불량,부품,HYDRAFORCE HYDRAULIC SYSTEMS,Incheon-DIVAC,13.0,21.0,58.0,72.0,88.0,106.0,132.0,155.0,174.0,183.0,218.0,239.0,259.0,275.0,282.0,0
엔진2톤,DIV-G20/35E7,FGA1Q-000269,"VALVE,MAIN CONTROL;4SEC",538,작동불량,부품,대성산업(주)기계사업부,Incheon-DIVAC,18.0,22.0,58.0,74.0,96.0,101.0,124.0,156.0,164.0,188.0,215.0,240.0,250.0,265.0,290.0,0
리치트럭,DIV-BR18/20SP7(북미),FRA0J-000381,"VALVE ASSY,CONTROL",6,작동불량,부품,HYDRAFORCE HYDRAULIC SYSTEMS,Incheon-DIVAC,15.0,37.0,46.0,77.0,87.0,107.0,140.0,150.0,166.0,183.0,216.0,239.0,244.0,277.0,281.0,0
엔진2톤,DIV-G20/35E7,FGA1N-001651,"VALVE,MAIN CONTROL;4SEC",162,작동불량,부품,대성산업(주)기계사업부,Incheon-DIVAC,8.0,30.0,54.0,75.0,81.0,102.0,125.0,159.0,167.0,187.0,208.0,230.0,245.0,273.0,299.0,0
엔진4톤,DIV-D35/55S(C)9,FDB42-000178,"VALVE,MAIN CONTROL;4SEC",100,손상,부품,신진정밀(주),Incheon-Korea(CS02),1.0,35.0,48.0,73.0,86.0,102.0,131.0,152.0,177.0,184.0,218.0,238.0,256.0,264.0,287.0,1
